epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1713.09,1.27125,2.20506,1.77336,0.6199,0.61993,0.63741,0.32025,1.20032,2.19389,1.92593,0.0670719,0.000332607,0.000332607
2,7780.99,1.27709,1.56408,1.75023,0.79697,0.7048,0.7847,0.45015,1.31664,1.59542,1.9523,0.0340587,0.000652755,0.000652755
3,9381.92,1.25488,1.37968,1.69594,0.85127,0.76034,0.81488,0.47195,1.31553,1.43969,1.96653,0.00103232,0.000959703,0.000959703
